Date,LW_down,SW_down,T2m,Nao,GBI
1979-01-01,224.46262553505574,25.877598059200285,263.74487143969526,-0.787999988,5221.528841509841
1979-01-02,225.8107336106397,25.445984117287725,262.8634253554365,-0.838,5198.181188977465
1979-01-03,226.66498453689684,25.318032384580654,263.0994368752499,-0.537999988,5208.055782137584
1979-01-04,226.4537403826339,24.92290505613604,263.0394523730259,-0.224999994,5218.684956545809
1979-01-05,227.34070337815754,24.866773603257876,263.21532484333966,0.241999999,5215.198833295827
1979-01-06,227.97120511935088,25.027341868364037,263.64159795134094,0.55400002,5200.151422020383
1979-01-07,228.3174023765464,25.036943853787015,263.68579465014153,0.864000022,5151.21615348527
1979-01-08,229.14920435510942,25.27797094160309,263.96748020115064,1.004999995,5071.044503602214
1979-01-09,228.19999266303654,25.580413472860197,263.7709734875629,0.880999982,5025.578831129139
1979-01-10,226.94780103302384,25.83505080341193,263.102220124573,0.602999985,5011.286189798206
1979-01-11,227.40618088794648,25.949984807258335,262.512592870016,0.51700002,4991.42439954962
1979-01-12,227.57904208023592,26.503452987538598,261.9435267890704,0.363000005,4990.221460440425
1979-01-13,226.82150431981393,26.546434491697593,261.6946696056199,0.016000001,5016.162610804744
1979-01-14,226.84686664926306,26.042103434288276,261.9297568539601,-0.319999993,5042.941697093781
1979-01-15,227.57981097892088,25.780150343980086,262.36203184920777,-0.493999988,5059.434434590583
1979-01-16,227.4335764249496,24.34801427387954,262.94623134847944,-0.388000011,5066.999717744036
1979-01-17,226.96996613181574,24.377509802807893,263.31954245640406,-0.643000007,5074.745008967517
1979-01-18,227.22314666801407,23.198433510853107,264.1601020448956,-1.09800005,5090.695802379409
1979-01-19,227.6797811244628,22.797087187119963,264.71982011314975,-1.467000008,5104.776035286198
1979-01-20,226.9085518320901,24.21525252986259,265.55366459903183,-1.702000022,5107.284146378774
1979-01-21,224.91230745057828,24.349037598117583,265.8684872900274,-1.81099999,5094.365853080679
1979-01-22,223.98042942858848,25.40999469814775,266.1616773774187,-1.873000026,5069.010831219284
1979-01-23,222.84747797855465,25.86319059828246,266.4783137018994,-1.906999946,5051.099122781472
1979-01-24,221.09131908131602,27.37258050922715,266.77735899901745,-1.953999996,5054.965403762037
1979-01-25,220.5489907325392,27.487478665487878,267.14208362280317,-1.907999992,5079.18534200819
1979-01-26,221.41801700923853,28.90933539274891,267.0793141062478,-1.649000049,5104.107520304724
1979-01-27,224.5819947664589,28.645245490198885,266.5868960284736,-1.457000017,5123.8002315426365
1979-01-28,227.62638218219837,29.24634270625708,266.63884653952255,-1.38499999,5144.93096520258
1979-01-29,228.7895096033201,29.561092604774014,266.07573582637076,-1.371000051,5157.17429539096
1979-01-30,228.45844089649597,30.574500772407117,265.3267007412037,-1.424999952,5157.042053003066
1979-01-31,228.7173555760221,30.813982951132676,264.3274597388979,-1.251000047,5156.0501235165175
1979-02-01,230.00611122820771,29.617392247030416,263.87907611569614,-1.15199995,5151.677009847781
1979-02-02,231.65106167943617,29.53360898904984,263.6496271722496,-1.095999956,5145.315678083531
1979-02-03,233.01178919339833,27.95922559341197,263.46910801519607,-0.994000018,5153.609009669342
1979-02-04,234.22185518698944,28.058754940035257,263.14678787168975,-0.936999977,5186.947412684987
1979-02-05,236.62862859069344,27.326908304006057,262.49789833141944,-0.953000009,5244.238239577669
1979-02-06,239.73971036116856,27.324340368955525,262.47682206833406,-1.125,5301.41973422465
1979-02-07,242.7800793185877,30.877656502540525,262.2960778662981,-1.036999941,5333.700842075865
1979-02-08,244.17327356508036,30.963752598492587,262.2739470218577,-0.689999998,5351.183565863169
1979-02-09,245.9050452191846,29.936243363435334,261.7957032966782,-0.558000028,5375.111240685284
1979-02-10,247.8558017006056,29.93513044290407,261.68512372249563,-0.572000027,5406.341459444983
1979-02-11,248.41255325038262,27.765567698378383,261.5422257476659,-0.458999991,5435.002649967713
1979-02-12,248.63329695501932,28.07343791761223,261.2518968009779,-0.469999999,5456.287646470944
1979-02-13,248.3409414358764,27.592502351506926,261.2670193366508,-0.615999997,5466.6984652015
1979-02-14,247.95101157450875,27.940211774771377,261.26236880491246,-0.633000016,5467.071746394109
1979-02-15,248.45032153912075,27.99628250933678,261.1438586449493,-0.481999993,5468.8865511293025
1979-02-16,249.84688828285712,27.61426813816713,260.7184915949707,-0.244000003,5476.6888687304
1979-02-17,249.75796733730715,31.34364027259917,261.4638787050644,-0.149000004,5486.438133840858
1979-02-18,248.6816872818764,31.486954765043393,262.45602486554225,-0.093000002,5486.030598083571
1979-02-19,247.89853655687944,33.06333017811475,263.9300890570783,0.254000008,5464.158764509115
1979-02-20,247.56352699879182,33.46252639590314,264.633873679717,0.574999988,5420.3508026510435
1979-02-21,248.04542843863945,34.50973221109626,264.32273457285726,0.625,5368.434437687949
1979-02-22,248.13857766036628,34.39546444147924,263.9344171066781,0.564999998,5321.080620257007
1979-02-23,247.2165237604109,35.1344820052245,263.4680338080352,0.402999997,5277.1847077772145
1979-02-24,246.07626795568808,35.37663932760167,263.14260462790753,0.389999986,5235.8592138178765
1979-02-25,244.7626190747581,35.70530242517178,263.2255494703638,0.788999975,5198.743338637962
1979-02-26,242.44102665737591,36.048295009291444,263.95968747864515,0.995000005,5169.323572837115
1979-02-27,240.71108441710476,36.216158728769564,264.0192624508922,1.00999999,5150.32674723289
1979-02-28,239.20183830748732,36.480968849445006,264.0521903434987,0.952000022,5141.097328259104
1979-03-01,237.2548764934317,36.509278244132155,264.2821351856761,1.202999949,5130.222703301235
